learning_rate,lr_scheduler_type,num_train_epochs,per_device_train_batch_size,seed,warmup_steps,weight_decay,ray/tune/eval_loss,ray/tune/eval_accuracy,ray/tune/eval_auc,ray/tune/eval_runtime,ray/tune/eval_samples_per_second
0.0005051116209993169,linear,1.0,24.0,98.10472590192472,715.7429780963221,0.02563370248681769,0.7734421491622925,0.5710928440093994,0.8487359881401062,108.13999938964844,118.04100036621094
0.0004083115608348222,linear,1.0,24.0,43.571916029345,639.6920956225696,0.08441697828623736,0.8859792947769165,0.5710928440093994,0.017810700461268425,107.7345962524414,118.48600006103516
1.445768036706515e-05,cosine,1.0,24.0,90.09924878854514,846.6170848259649,0.12685366048523594,0.13534601032733917,0.9504896402359009,0.9921486973762512,107.50810241699219,118.73500061035156
0.00011090777430072827,linear,1.0,24.0,60.852437345484546,624.4295823951395,0.013601746110327245,0.09879666566848755,0.9580885171890259,0.9943376779556274,107.39759826660156,118.85700225830078
1.1774327803245414e-05,polynomial,1.0,24.0,73.42282707105113,321.99884985070094,0.15360185096486736,0.13936524093151093,0.9482178092002869,0.9912875294685364,107.65969848632812,118.56800079345703
0.0007314513351896391,linear,1.0,24.0,71.34768137990297,1476.71974938936,0.13349462297604428,1.5211501121520996,0.4289071559906006,0.3993709981441498,107.43319702148438,118.81800079345703
3.6269681606812165e-05,polynomial,1.0,24.0,18.023659201065335,1164.375079472698,0.20052028018373788,0.11557349562644958,0.9529964923858643,0.9929687976837158,108.14620208740234,118.03500366210938
1.8213816280579757e-05,polynomial,1.0,24.0,22.6628471766551,770.815207306911,0.18353639993291174,0.1305442899465561,0.9492362141609192,0.9916683435440063,107.71150207519531,118.51100158691406
0.0009376292610193163,polynomial,1.0,24.0,75.24960586315649,1977.1063941798716,0.19400408587975734,1.545236349105835,0.4289071559906006,0.9593050479888916,108.21279907226562,117.96199798583984
4.639433772353995e-06,polynomial,1.0,24.0,23.2568235702606,1372.3929726797417,0.268333639137159,0.25585734844207764,0.9323932528495789,0.9835432767868042,107.26580047607422,119.00299835205078
2.2980582736561385e-05,linear,1.0,24.0,61.603630171978104,1739.9200398282703,0.026451933284839496,0.14609727263450623,0.9435174465179443,0.9921541810035706,108.2218017578125,117.9520034790039
3.91893329565429e-05,polynomial,1.0,24.0,64.14422340753704,1316.0297901688227,0.15933920003882993,0.12537510693073273,0.9528397917747498,0.9927482008934021,107.42070007324219,118.83200073242188
0.00010449088210848849,polynomial,1.0,24.0,54.963150022544816,198.2093850094413,0.10454509348881297,0.1002652496099472,0.9578534960746765,0.9939945340156555,107.57929992675781,118.65699768066406
0.0003583864753300158,cosine,1.0,24.0,25.681627959690413,282.2562007207886,0.23669775415672065,0.8121330738067627,0.5710928440093994,0.4269661009311676,109.11190032958984,116.98999786376953
5.411883794659333e-05,linear,1.0,24.0,25.406436870031868,393.50669461934376,0.12548185432650763,0.10249446332454681,0.9558950066566467,0.993843674659729,108.00700378417969,118.18699645996094
5.407865163877503e-06,polynomial,1.0,24.0,44.0069490270346,460.99585403584115,0.2526766092658779,0.19388559460639954,0.940697193145752,0.9870686531066895,107.94409942626953,118.25599670410156
0.00011104182111965637,cosine,1.0,24.0,15.034456503801097,107.2887861421491,0.24283330276130058,0.11201713979244232,0.9526830911636353,0.9925458431243896,107.93689727783203,118.26399993896484
3.8076786217081306e-05,linear,1.0,24.0,10.208008670305912,1371.6453781906841,0.1354366612619598,0.18997885286808014,0.9267528653144836,0.9937275052070618,107.64119720458984,118.58799743652344
1.0454455420295428e-06,cosine,1.0,24.0,91.11966800736872,1922.002590087775,0.18251571274493392,0.6419209837913513,0.7520564198493958,0.7961117029190063,107.51950073242188,118.7229995727539
1.97744094323032e-06,linear,1.0,24.0,99.91550573977085,753.9778332149499,0.11688947466832023,0.5663827657699585,0.7453975677490234,0.9528041481971741,107.49970245361328,118.74500274658203
0.00010757090098303918,linear,1.0,24.0,55.56682063129511,531.7515542919053,0.09538645397314302,0.09825296700000763,0.9574618339538574,0.9943984746932983,109.58989715576172,116.4800033569336
0.0002864920616511622,linear,1.0,24.0,54.47668435090821,602.827884769096,0.07370126242737256,0.10049206018447876,0.9552683234214783,0.9942487478256226,107.5365982055664,118.7040023803711
0.00014440355446979598,linear,1.0,24.0,62.06362368722435,499.2015604856016,0.0030435203975683715,0.10040445625782013,0.9564434289932251,0.9941152930259705,108.4906997680664,117.66000366210938
5.431696734451292e-06,cosine,1.0,24.0,52.042529040520606,1507.124670833012,0.13227752403006302,0.2452879250049591,0.9344300627708435,0.985175609588623,108.13500213623047,118.0469970703125
0.00024022049117729288,linear,1.0,24.0,31.833731883369364,977.8741047582089,0.04220644637886868,0.09807852655649185,0.9593419432640076,0.994591474533081,107.9446029663086,118.25499725341797
1.2568292619258438e-05,polynomial,1.0,24.0,5.466079757816966,932.1262634480183,0.048390516408195736,0.14898858964443207,0.9458675980567932,0.9906995892524719,108.39019775390625,117.76899719238281
0.00019515923651868038,linear,1.0,24.0,35.86827688779795,196.43817920994832,0.06729893580344573,0.16494913399219513,0.9440658092498779,0.9895792603492737,108.17359924316406,118.00499725341797
4.611886726825933e-05,cosine,1.0,24.0,81.19180194959984,1032.8656166785936,0.2838670228894597,0.12886574864387512,0.9545632600784302,0.993228554725647,108.31320190429688,117.85299682617188
1.5259202858539366e-06,polynomial,1.0,24.0,73.43146144130395,560.1612178743248,0.13843061885577415,0.5988320112228394,0.6271836757659912,0.8739715814590454,107.59159851074219,118.64299774169922
