,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
86,91,MSL3,ENSG00000005302,-3.810445102111947e-05,0.12143668244598359,0.27377243867439255,496,0
7954,8370,EIF2D,ENSG00000143486,-3.824805556406528e-05,0.5911084107921367,0.7534003565239299,203,0
4727,4946,DNMT3A,ENSG00000119772,-3.84720042347908e-05,0.231683075065648,0.4231262124511452,224,0
10784,11366,PEX2,ENSG00000164751,-3.92297951456828e-05,0.2762848027719409,0.47424400195528305,390,0
4555,4767,TREH,ENSG00000118094,-3.931236763795217e-05,0.8076909587444214,0.8967308733536791,6,0
14289,15287,PCDH9,ENSG00000184226,-3.945694600300091e-05,0.4006994380443518,0.59858915639621,82,0
17887,24246,NUDT18,ENSG00000275074,-3.9768707938492295e-05,0.3199526994655769,0.5210765012947605,80,0
8158,8580,NXPE3,ENSG00000144815,-3.997666771684945e-05,0.8701185443787328,0.9309865679537679,179,0
11328,11942,PIP5KL1,ENSG00000167103,-4.05475716996059e-05,0.8877585800217562,0.9404968718848715,89,0
10995,11590,CLEC1B,ENSG00000165682,-4.057753005925613e-05,0.07604907879496343,0.19698666515947966,632,0
10945,11537,MICU2,ENSG00000165487,-4.0715180072911395e-05,0.10729041681144591,0.25088685913805614,338,0
5887,6180,GNL3L,ENSG00000130119,-4.105841960861451e-05,0.5339281684547393,0.7111719204810811,144,0
834,870,CASP8,ENSG00000064012,-4.1149599599607644e-05,0.5153525571823669,0.6963559299792745,336,0
7962,8378,TP53BP2,ENSG00000143514,-4.128792173141404e-05,0.3312301238392342,0.5332628494633782,329,0
4183,4383,PCSK4,ENSG00000115257,-4.151101047928269e-05,0.39057332995035166,0.5900069204677144,37,0
16177,17587,COL15A1,ENSG00000204291,-4.1692018114178384e-05,0.41636995659818477,0.6113684248511173,151,0
11947,12614,ZFPM2,ENSG00000169946,-4.169837726900975e-05,0.6696804394554061,0.8093397622408963,24,0
5722,6002,CDHR3,ENSG00000128536,-4.2767818307592754e-05,0.5851461952964812,0.7493839793948859,84,0
2638,2760,HCFC1R1,ENSG00000103145,-4.392874231166476e-05,0.5741459069232382,0.7408132422443753,1036,0
9762,10300,TCHH,ENSG00000159450,-4.478494979833302e-05,0.46170276233664387,0.6528576433255684,57,0
10769,11349,TAGAP,ENSG00000164691,-4.49613763544804e-05,0.5647823166481947,0.7339249878203506,156,0
15300,16467,SRGAP3,ENSG00000196220,-4.5126676559448244e-05,0.7146341188910434,0.8392101643620417,10,0
1474,1536,UBA5,ENSG00000081307,-4.546641003946925e-05,0.18368384210311872,0.3617682081554577,301,0
11128,11730,DNAAF8,ENSG00000166246,-4.547841560382109e-05,0.35340700891994137,0.5548488487827229,26,0
13858,14771,RFX7,ENSG00000181827,-4.547999595247564e-05,0.24868598622577653,0.44249897509824077,84,0
8375,8812,LINC01558,ENSG00000146521,-4.572414148312349e-05,0.6617218272149534,0.8042415771989683,13,0
14941,16056,SEMA4D,ENSG00000187764,-4.5822685435697603e-05,0.671344846007601,0.8104781145728417,263,0
7686,8088,TP53,ENSG00000141510,-4.631924478091159e-05,0.18278389427314823,0.3604772014124925,318,0
3074,3221,RNF32,ENSG00000105982,-4.6525452108610246e-05,0.439608649355109,0.6328793292115844,105,0
11762,12420,ZBBX,ENSG00000169064,-4.7204395135243736e-05,0.6461967545614717,0.7919581872676026,45,0
1422,1480,EPB41L2,ENSG00000079819,-4.746295021975349e-05,0.3560010164598435,0.5571120879129872,464,0
16302,17845,C11orf91,ENSG00000205177,-4.7554572423299156e-05,0.6881647873566763,0.8224229552353166,6,0
5227,5475,C20orf85,ENSG00000124237,-4.847521700386731e-05,0.3741690761034845,0.5743384429808609,106,0
9099,9589,CCDC148,ENSG00000153237,-4.8645539209246635e-05,0.465104560113769,0.655325312120504,32,0
2218,2319,VCPKMT,ENSG00000100483,-4.88478804658527e-05,0.8505924587031443,0.9202948428153147,163,0
15428,16622,HSH2D,ENSG00000196684,-4.979826797897689e-05,0.4943676048419887,0.6799617557341101,207,0
13220,14053,RPS6KA3,ENSG00000177189,-5.0082135717639945e-05,0.6100246464233257,0.7669413128762083,474,0
31,34,KLHL13,ENSG00000003096,-5.013423717834733e-05,0.5128810616999068,0.6943774027515093,66,0
15327,16504,ZNF729,ENSG00000196350,-5.048513412475586e-05,0.9830567926261404,0.9911486950348539,2,0
7923,8337,SF3B4,ENSG00000143368,-5.055054761168128e-05,0.11662688054946226,0.2659386277485096,742,0
5065,5305,CHST3,ENSG00000122863,-5.154806536202337e-05,0.5350356649537603,0.7120715464563371,102,0
5949,6247,SSBP4,ENSG00000130511,-5.1630251109600065e-05,0.5958141603090055,0.7566848184168175,250,0
8955,9437,CCDC74B,ENSG00000152076,-5.165338516235352e-05,0.7309193422657573,0.8497470555116814,5,0
14076,15034,GPC6,ENSG00000183098,-5.166520738703573e-05,0.310738023545131,0.5112596560924065,117,0
6042,6348,AKAP12,ENSG00000131016,-5.170758893561466e-05,0.20574708359625815,0.3909216152848724,466,0
9549,10070,C2CD2,ENSG00000157617,-5.173999099777295e-05,0.5218355456197337,0.7016120129789017,130,0
1939,2026,SH2D3C,ENSG00000095370,-5.2087848455133575e-05,0.8301689819644031,0.9094105623963014,71,0
7152,7524,GCHFR,ENSG00000137880,-5.218968458301911e-05,0.20104660575749755,0.3845911002275727,694,0
1148,1198,MARK2,ENSG00000072518,-5.2665579183351085e-05,0.8464297427894873,0.9188468398254852,368,0
3950,4144,PCDHB7,ENSG00000113212,-5.2809715270996094e-05,0.895191158359626,0.9453035078198463,1,0
8347,8782,GABRR1,ENSG00000146276,-5.290905634562174e-05,0.7809226053551729,0.8812712257264137,12,0
14205,15194,KCTD16,ENSG00000183775,-5.332626402378082e-05,0.5551197557955143,0.7266835640816574,25,0
841,877,CCN5,ENSG00000064205,-5.3791662872727236e-05,0.83409837812877,0.9118094071469783,67,0
6818,7167,WASHC4,ENSG00000136051,-5.4306532406518535e-05,0.32329419352409894,0.5249621229133702,310,0
12845,13623,WDR49,ENSG00000174776,-5.4739862680435184e-05,0.6643822467298631,0.805613552626022,25,0
3766,3948,KLRB1,ENSG00000111796,-5.474213380799737e-05,0.5235986277970357,0.7031519818014146,86,0
7203,7576,STAMBPL1,ENSG00000138134,-5.507149184361482e-05,0.7305890995417792,0.8496233742455296,78,0
7579,7973,UQCRC2,ENSG00000140740,-5.561896340595078e-05,0.1735065474942442,0.3482582159725769,970,0
14054,15009,NAA38,ENSG00000183011,-5.636835772336836e-05,0.16865965804173078,0.34138203483750795,1186,0
5878,6171,PRRG3,ENSG00000130032,-5.6461092423308976e-05,0.9020614502670274,0.9492864866630386,22,0
12265,12970,SPACA5,ENSG00000171489,-5.646298329035441e-05,0.6802281947736616,0.8171212454348246,3,0
11038,11635,FRAT1,ENSG00000165879,-5.6612485072069e-05,0.7463656995136934,0.8604915507558208,57,0
10197,10756,NCSTN,ENSG00000162736,-5.6673289520970936e-05,0.7100829724591262,0.8369684113470572,507,0
2468,2580,NXT2,ENSG00000101888,-5.680424565414213e-05,0.5515627069742028,0.7242831403135349,159,0
7255,7633,ABI2,ENSG00000138443,-5.715613061368069e-05,0.27134811217736166,0.46874390866697274,451,0
9613,10139,WASF2,ENSG00000158195,-5.727042660945779e-05,0.23797633941829555,0.43028476770146235,2104,0
9965,10513,PGLYRP2,ENSG00000161031,-5.757462233304977e-05,0.7391256740449497,0.8552834303004498,50,0
2366,2474,RNF24,ENSG00000101236,-5.7910030865866056e-05,0.43095211966054614,0.6251714864863399,424,0
13762,14658,LSMEM1,ENSG00000181016,-5.7989062789158946e-05,0.6163150034449751,0.7707870563953438,39,0
8039,8459,REG3G,ENSG00000143954,-5.9823195139567055e-05,0.8744356495802624,0.9329025289511456,3,0
17602,21682,FAM72C,ENSG00000263513,-5.9935929519789557e-05,0.2327874143237081,0.42454429042858954,14,0
585,616,YTHDC2,ENSG00000047188,-6.0555318163500895e-05,0.3859197468534624,0.5854444496654619,243,0
2044,2132,KLHL22,ENSG00000099910,-6.112894960172436e-05,0.12662527843703889,0.28147922103085726,193,0
1421,1479,DNM2,ENSG00000079805,-6.122669604207788e-05,0.6909840772730512,0.8237116706885069,420,0
9502,10020,LRP8,ENSG00000157193,-6.169725939170602e-05,0.5440631181204514,0.7185588577233838,97,0
2830,2966,TUBB4A,ENSG00000104833,-6.19258110721906e-05,0.7310994207526331,0.8498474061817078,18,0
9143,9639,FBXO36,ENSG00000153832,-6.246318419774373e-05,0.6165054325483666,0.7709188439840512,66,0
14108,15070,CCBE1,ENSG00000183287,-6.330995715426324e-05,0.8148722285367711,0.90095168083158,133,0
6147,6460,PEX11B,ENSG00000131779,-6.3545516349821e-05,0.2736556225899892,0.47147207054850065,234,0
2067,2158,PPIL2,ENSG00000100023,-6.388935485276682e-05,0.5393336235789739,0.7152187218902442,174,0
10226,10785,CNST,ENSG00000162852,-6.501952558755874e-05,0.28147590862728933,0.4796573859367833,250,0
16147,17540,GIGYF2,ENSG00000204120,-6.622619306047757e-05,0.45677930141765155,0.6483808849828949,432,0
14525,15559,SH3BGR,ENSG00000185437,-6.642397493124008e-05,0.5014729623265037,0.6862978907636161,60,0
3919,4112,CEP72,ENSG00000112877,-6.669759750366211e-05,0.7570391899977287,0.86681277835431,4,0
2494,2606,PLS3,ENSG00000102024,-6.676846176820848e-05,0.2488247232714358,0.4427023833020501,1062,0
6937,7297,ECPAS,ENSG00000136813,-6.691978227249102e-05,0.3179174143689324,0.5186990792451829,304,0
9529,10050,RNF111,ENSG00000157450,-6.70227644488562e-05,0.801863546335664,0.8933248751212461,172,0
8539,8989,ZCCHC7,ENSG00000147905,-6.734354786979954e-05,0.7242339570825731,0.8462576394061065,423,0
4177,4377,PSMD14,ENSG00000115233,-6.796238129702713e-05,0.283692883751959,0.4819854354878644,1034,0
