,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
10127,10639,RPL29,ENSG00000162244,-5.4759151276650436e-05,7.423265674333378e-79,5.48842739534584e-77,13337,1
11074,11626,METTL3,ENSG00000165819,-5.567800803778041e-05,0.011026734338517563,0.033441316710396636,237,1
1053,1094,UFD1,ENSG00000070010,-5.593660912440483e-05,3.207796609175775e-06,2.022632690022249e-05,1009,1
4070,4248,RBP1,ENSG00000114115,-5.644280799189831e-05,3.271391403946346e-08,2.6366695728685803e-07,1387,1
11023,11574,TAF3,ENSG00000165632,-5.6610034716813586e-05,0.014290881255623906,0.04165277359769829,331,1
12831,13542,DDX23,ENSG00000174243,-5.82537890229051e-05,0.004576996787947462,0.015605022890257468,438,1
6825,7143,COX5B,ENSG00000135940,-5.895521850213152e-05,1.5573915728048624e-16,2.4638767798921445e-15,2910,1
2503,2606,PLS3,ENSG00000102024,-5.9610278614889386e-05,3.877581505098553e-05,0.00020632569975832522,1055,1
9025,9469,TCF7L1,ENSG00000152284,-5.984430978620859e-05,0.013468540989741599,0.0396085272795352,133,1
8027,8410,SCCPDH,ENSG00000143653,-5.989595973754631e-05,0.00089443724773591,0.003651024348727882,680,1
12784,13486,ATP5MK,ENSG00000173915,-5.995847334569181e-05,6.976340589711502e-16,1.057175050024381e-14,2844,1
10716,11249,SERINC5,ENSG00000164300,-6.180468414511e-05,0.005677590501745276,0.01881516346285946,350,1
3496,3654,ELF2,ENSG00000109381,-6.185867436898507e-05,7.19641145710811e-05,0.00036501632220618064,602,1
1370,1423,PPP2R5C,ENSG00000078304,-6.285076432819761e-05,5.825014475327808e-06,3.542536166487917e-05,1499,1
13011,13735,BANF1,ENSG00000175334,-6.473032573132582e-05,3.549900001907782e-12,4.1859142401917095e-11,2544,1
15599,16701,LAGE3,ENSG00000196976,-6.574930897516797e-05,1.0879055317403436e-05,6.364976333755884e-05,1548,1
8712,9130,CELF1,ENSG00000149187,-6.69757899066264e-05,6.383617652924694e-05,0.00032631729379433284,880,1
3913,4088,COX7A2,ENSG00000112695,-6.709154827102947e-05,5.715390916221506e-41,2.075196194848268e-39,7771,1
1978,2058,TMEM14A,ENSG00000096092,-6.748963674493466e-05,2.65911859263175e-05,0.0001461120722639969,1463,1
11824,12437,UBE2V2,ENSG00000169139,-6.804733281228294e-05,0.00015701913896716156,0.000746268256117645,1594,1
3916,4091,SENP6,ENSG00000112701,-6.891507655382156e-05,0.0003479149148823712,0.0015498950144030997,732,1
5708,5959,DGCR6L,ENSG00000128185,-6.906977567657734e-05,3.847505970907969e-05,0.00020502141668866177,636,1
7121,7458,NEK1,ENSG00000137601,-6.94272369146347e-05,0.01427663295102464,0.04161901681748846,250,1
4063,4241,OGG1,ENSG00000114026,-7.235734638842669e-05,0.005233757572319498,0.01755371846461502,220,1
590,618,ATP6V1H,ENSG00000047249,-7.332919679060885e-05,0.010903617381024225,0.03313918917594235,486,1
4088,4266,ACAP2,ENSG00000114331,-7.337496377700982e-05,0.0013087933277745787,0.005145376170256148,1118,1
8572,8983,HAUS6,ENSG00000147874,-7.34190344325106e-05,0.0061760350221155315,0.020301860553157112,307,1
7973,8353,SELENBP1,ENSG00000143416,-7.579778357297414e-05,0.0007923250591999104,0.003267672578832559,643,1
8428,8831,CCT6A,ENSG00000146731,-7.811946018037773e-05,1.134286259645683e-10,1.1658224695551146e-09,2476,1
5522,5762,UROD,ENSG00000126088,-7.815801159099297e-05,0.0021594146798910342,0.008077321005810281,675,1
10320,10837,H3-3A,ENSG00000163041,-8.149017901290401e-05,1.100224474889539e-30,3.197102372674261e-29,4743,1
17041,19693,NOL7,ENSG00000225921,-8.234853376300669e-05,3.698226832025305e-10,3.624301827472795e-09,2051,1
1060,1101,PFN2,ENSG00000070087,-8.299379100868586e-05,8.347767858113224e-07,5.650227812711852e-06,1278,1
3910,4085,DNPH1,ENSG00000112667,-8.364526322895429e-05,2.0367996782909085e-07,1.4802520373025009e-06,1782,1
3010,3141,RPL18A,ENSG00000105640,-8.386982585656143e-05,1.392438213435045e-66,8.896079122489542e-65,14839,1
4539,4733,SYF2,ENSG00000117614,-8.425344361199273e-05,4.315099411452401e-09,3.8297029432909594e-08,2250,1
2291,2384,ACIN1,ENSG00000100813,-8.444974043904225e-05,0.00519173942289918,0.017428731976982675,829,1
16118,17302,CAPZA2,ENSG00000198898,-8.483712460452204e-05,4.064612563813826e-08,3.2347541653685036e-07,2149,1
5818,6073,PALLD,ENSG00000129116,-8.515662585313503e-05,0.00047588316387198583,0.0020633231716142664,702,1
14378,15276,PPP1R2,ENSG00000184203,-8.783342098763712e-05,9.351418750210373e-05,0.0004660617750141081,1427,1
14551,15481,RPS27L,ENSG00000185088,-8.960725849960563e-05,5.966147411275961e-17,9.672438455628296e-16,4135,1
8472,8877,NDUFB11,ENSG00000147123,-9.166126798661245e-05,2.71204295236037e-18,4.691322601366013e-17,4059,1
12677,13364,SNCG,ENSG00000173267,-9.196215531065519e-05,0.00028603677348210533,0.0012972471626435526,743,1
3805,3972,TPD52L1,ENSG00000111907,-9.228316270608137e-05,0.0014887118953017477,0.005794315710518541,1146,1
9606,10084,PSMG3,ENSG00000157778,-9.235963032344462e-05,0.00039842020608725926,0.001758226931122981,965,1
2457,2560,ANKRD12,ENSG00000101745,-9.275017540821534e-05,6.203075887018054e-05,0.00031787044929215306,1437,1
8110,8495,UBXN4,ENSG00000144224,-9.479742535827971e-05,9.69508456569355e-11,1.0043450316189657e-09,3183,1
15560,16651,STRN3,ENSG00000196792,-9.479876345312092e-05,0.002593870808294239,0.009523671433897311,355,1
14385,15284,CMSS1,ENSG00000184220,-9.549014484051798e-05,9.190147316537133e-05,0.0004587817620365502,976,1
10230,10743,ZNF281,ENSG00000162702,-9.663628275605514e-05,0.010343212582669766,0.031656342165887634,497,1
8046,8430,PARP1,ENSG00000143799,-9.742421106504658e-05,5.079040328345377e-08,4.0003987740782143e-07,2204,1
1187,1237,KDM5A,ENSG00000073614,-9.775173040272216e-05,0.01438452531735025,0.04185253192937705,676,1
4773,4975,SMNDC1,ENSG00000119953,-9.818484358665938e-05,0.0038536829836279857,0.013431121685573607,549,1
7267,7611,ATIC,ENSG00000138363,-0.00010031412573570901,0.0008829465821395375,0.00360813651217084,705,1
9330,9793,GTF3C6,ENSG00000155115,-0.00010033560430112862,5.620263095858343e-06,3.421419127677907e-05,2128,1
3774,3940,RAB35,ENSG00000111737,-0.00010035765801100122,0.015580441282759403,0.04487636999068119,447,1
